t	C_D
9.0664864332638331E+000	2.1684920000000001E+000
9.0763397331527518E+000	2.1703980000000000E+000
9.0861929500546736E+000	2.1722500000000000E+000
9.0960460858292222E+000	2.1740439999999999E+000
9.1058991424288536E+000	2.1757780000000002E+000
9.1157521218885513E+000	2.1774540000000000E+000
9.1256050263158262E+000	2.1790680000000000E+000
9.1354578578809154E+000	2.1806179999999999E+000
9.1453106188072848E+000	2.1821079999999999E+000
9.1551633113625481E+000	2.1835320000000000E+000
9.1650159378496951E+000	2.1848920000000001E+000
9.1748685005987713E+000	2.1861899999999999E+000
9.1847210019590761E+000	2.1874220000000002E+000
9.1945734442915867E+000	2.1885900000000000E+000
9.2044258299620072E+000	2.1896939999999998E+000
9.2142781613340716E+000	2.1907359999999998E+000
9.2241304407635116E+000	2.1917140000000002E+000
9.2339826705922921E+000	2.1926320000000001E+000
9.2438348531433956E+000	2.1934860000000000E+000
9.2536869907161368E+000	2.1942819999999998E+000
9.2635390855817832E+000	2.1950180000000001E+000
9.2733911399797648E+000	2.1956959999999999E+000
9.2832431561142368E+000	2.1963180000000002E+000
9.2930951361511767E+000	2.1968839999999998E+000
9.3029470822157538E+000	2.1973940000000001E+000
9.3127989963902014E+000	2.1978520000000001E+000
9.3226508807119846E+000	2.1982599999999999E+000
9.3325027371724243E+000	2.1986159999999999E+000
9.3423545677155282E+000	2.1989239999999999E+000
9.3522063742371753E+000	2.1991860000000001E+000
9.3620581585845404E+000	2.1993999999999998E+000
9.3719099225558580E+000	2.1995719999999999E+000
9.3817616679002764E+000	2.1997019999999998E+000
9.3916133963180322E+000	2.1997900000000001E+000
9.4014651094606023E+000	2.1998400000000000E+000
9.4113168081434679E+000	2.1998500000000001E+000
9.4211684925069754E+000	2.1998259999999998E+000
9.4310201640836713E+000	2.1997659999999999E+000
9.4408718243913956E+000	2.1996739999999999E+000
9.4507234749022349E+000	2.1995499999999999E+000
9.4605751170431276E+000	2.1993960000000001E+000
9.4704267521963246E+000	2.1992140000000000E+000
9.4704267521963246E+000	2.1990040000000000E+000
9.4802783816999501E+000	2.1988900000000000E+000
9.4901300068484780E+000	2.1986420000000000E+000
9.4999816288932877E+000	2.1983720000000000E+000
9.5098332490430373E+000	2.1980780000000002E+000
9.5196848684640969E+000	2.1977639999999998E+000
9.5295364882809093E+000	2.1974300000000002E+000
9.5393881095762385E+000	2.1970779999999999E+000
9.5492397333914880E+000	2.1967099999999999E+000
9.5590913607267858E+000	2.1963260000000000E+000
9.5689429925412419E+000	2.1959260000000000E+000
9.5787946297528670E+000	2.1955140000000002E+000
9.5886462732386661E+000	2.1950880000000002E+000
9.5984979238345254E+000	2.1946539999999999E+000
9.6083495823351459E+000	2.1942080000000002E+000
9.6182012494938842E+000	2.1937540000000002E+000
9.6280529260225034E+000	2.1932900000000002E+000
9.6379046125910861E+000	2.1928220000000000E+000
9.6477563098277592E+000	2.1923460000000001E+000
9.6576080183185375E+000	2.1918660000000001E+000
9.6674597386071444E+000	2.1913819999999999E+000
9.6773114711949226E+000	2.1908960000000000E+000
9.6871632165407178E+000	2.1904080000000001E+000
9.6970149750608687E+000	2.1899160000000002E+000
9.7068667471292738E+000	2.1894260000000001E+000
9.7167185330775308E+000	2.1889340000000002E+000
9.7265703331951290E+000	2.1884440000000001E+000
9.7364221477297548E+000	2.1879559999999998E+000
9.7462739768877391E+000	2.1874699999999998E+000
9.7561258208345709E+000	2.1869879999999999E+000
9.7659776796955455E+000	2.1865079999999999E+000
9.7758295535565853E+000	2.1860320000000000E+000
9.7856814424651173E+000	2.1855620000000000E+000
9.7955333464311245E+000	2.1850960000000001E+000
9.8053852654283542E+000	2.1846359999999998E+000
9.8152371993956340E+000	2.1841819999999998E+000
9.8250891482382823E+000	2.1837339999999998E+000
9.8349411118296679E+000	2.1832940000000001E+000
9.8447930900129119E+000	2.1828599999999998E+000
9.8546450826025751E+000	2.1824319999999999E+000
9.8644970893866244E+000	2.1820140000000001E+000
9.8743491101283301E+000	2.1816019999999998E+000
9.8842011445683884E+000	2.1811980000000002E+000
9.8940531924270640E+000	2.1808019999999999E+000
9.9039052534062488E+000	2.1804139999999999E+000
9.9137573271918118E+000	2.1800359999999999E+000
9.9236094134557522E+000	2.1796639999999998E+000
9.9334615118584946E+000	2.1793000000000000E+000
9.9433136220510896E+000	2.1789459999999998E+000
9.9531657436774363E+000	2.1785999999999999E+000
9.9630178763764974E+000	2.1782599999999999E+000
9.9728700197843558E+000	2.1779299999999999E+000
9.9827221735363629E+000	2.1776059999999999E+000
9.9925743372690174E+000	2.1772900000000002E+000
1.0002426510621914E+001	2.1769820000000002E+000
1.0012278693239441E+001	2.1766800000000002E+000
1.0022130884772496E+001	2.1763880000000002E+000
1.0031983084879911E+001	2.1760999999999999E+000
1.0041835293229877E+001	2.1758199999999999E+000
1.0051687509501145E+001	2.1755460000000002E+000
1.0061539733384064E+001	2.1752780000000000E+000
1.0071391964581467E+001	2.1750159999999998E+000
1.0081244202809403E+001	2.1747580000000002E+000
1.0091096447797689E+001	2.1745079999999999E+000
1.0100948699290306E+001	2.1742620000000001E+000
1.0110800957045580E+001	2.1740219999999999E+000
1.0120653220836255E+001	2.1737860000000002E+000
1.0130505490449375E+001	2.1735540000000002E+000
1.0140357765686026E+001	2.1733259999999999E+000
1.0150210046360908E+001	2.1731039999999999E+000
1.0160062332301804E+001	2.1728839999999998E+000
1.0169914623348870E+001	2.1726700000000001E+000
1.0179766919353888E+001	2.1724579999999998E+000
1.0189619220179368E+001	2.1722480000000002E+000
1.0199471525697511E+001	2.1720440000000001E+000
1.0209323835789215E+001	2.1718419999999998E+000
1.0219176150342914E+001	2.1716440000000001E+000
1.0229028469253445E+001	2.1714479999999998E+000
1.0238880792420890E+001	2.1712560000000001E+000
1.0248733119749311E+001	2.1710660000000002E+000
1.0258585451145565E+001	2.1708799999999999E+000
1.0268437786518177E+001	2.1706960000000000E+000
1.0278290125776135E+001	2.1705139999999998E+000
1.0288142468827832E+001	2.1703359999999998E+000
1.0297994815580024E+001	2.1701619999999999E+000
1.0307847165936836E+001	2.1699880000000000E+000
1.0317699519798930E+001	2.1698200000000001E+000
1.0327551877062701E+001	2.1696520000000001E+000
1.0337404237619584E+001	2.1694900000000001E+000
1.0347256601355548E+001	2.1693280000000001E+000
1.0357108968150550E+001	2.1691720000000001E+000
1.0366961337878314E+001	2.1690179999999999E+000
1.0376813710406038E+001	2.1688660000000000E+000
1.0386666085594410E+001	2.1687180000000001E+000
1.0396518463297619E+001	2.1685740000000000E+000
1.0406370843363550E+001	2.1684320000000001E+000
1.0416223225634059E+001	2.1682939999999999E+000
1.0426075609945457E+001	2.1681599999999999E+000
1.0435927996129015E+001	2.1680280000000001E+000
1.0445780384011618E+001	2.1678999999999999E+000
1.0455632773416516E+001	2.1677759999999999E+000
1.0465485164164132E+001	2.1676540000000002E+000
1.0475337556073036E+001	2.1675360000000001E+000
1.0485189948960839E+001	2.1674199999999999E+000
1.0495042342645316E+001	2.1673079999999998E+000
1.0504894736945408E+001	2.1671980000000000E+000
1.0514747131682425E+001	2.1670919999999998E+000
1.0524599526681085E+001	2.1669900000000002E+000
1.0534451921770705E+001	2.1668880000000001E+000
1.0544304316786327E+001	2.1667900000000002E+000
1.0554156711569815E+001	2.1666940000000001E+000
1.0564009105970928E+001	2.1666020000000001E+000
1.0573861499848359E+001	2.1665100000000002E+000
1.0583713893070712E+001	2.1664200000000000E+000
1.0593566285517417E+001	2.1663320000000001E+000
1.0603418677079569E+001	2.1662460000000001E+000
1.0613271067660669E+001	2.1661619999999999E+000
1.0623123457177273E+001	2.1660780000000002E+000
1.0632975845559582E+001	2.1659940000000000E+000
1.0642828232751871E+001	2.1659120000000001E+000
1.0652680618712862E+001	2.1658300000000001E+000
1.0662533003415911E+001	2.1657500000000001E+000
1.0672385386849161E+001	2.1656680000000001E+000
1.0682237769015531E+001	2.1655880000000001E+000
1.0692090149932598E+001	2.1655060000000002E+000
1.0701942529632401E+001	2.1654239999999998E+000
1.0711794908161067E+001	2.1653419999999999E+000
1.0721647285578355E+001	2.1652580000000001E+000
1.0731499661957166E+001	2.1651739999999999E+000
1.0741352037382827E+001	2.1650879999999999E+000
1.0751204411952415E+001	2.1650019999999999E+000
1.0761056785773862E+001	2.1649140000000000E+000
1.0770909158965136E+001	2.1648239999999999E+000
1.0780761531653226E+001	2.1647340000000002E+000
1.0790613903973176E+001	2.1646420000000002E+000
1.0800466276066969E+001	2.1645460000000001E+000
1.0810318648082472E+001	2.1644500000000000E+000
1.0820171020172248E+001	2.1643520000000001E+000
1.0830023392492469E+001	2.1642519999999998E+000
1.0839875765201747E+001	2.1641480000000000E+000
1.0849728138459994E+001	2.1640440000000001E+000
1.0859580512427284E+001	2.1639379999999999E+000
1.0869432887262793E+001	2.1638299999999999E+000
1.0879285263123679E+001	2.1637179999999998E+000
1.0889137640164066E+001	2.1636060000000001E+000
1.0898990018534104E+001	2.1634920000000002E+000
1.0908842398379027E+001	2.1633740000000001E+000
1.0918694779838352E+001	2.1632560000000001E+000
1.0928547163045071E+001	2.1631360000000002E+000
1.0938399548124979E+001	2.1630140000000000E+000
1.0948251935196101E+001	2.1628900000000000E+000
1.0958104324368106E+001	2.1627660000000000E+000
1.0967956715741945E+001	2.1626379999999998E+000
1.0977809109409510E+001	2.1625100000000002E+000
1.0987661505453374E+001	2.1623800000000002E+000
1.0997513903946658E+001	2.1622499999999998E+000
1.1007366304953001E+001	2.1621180000000000E+000
1.1017218708526588E+001	2.1619839999999999E+000
1.1027071114712271E+001	2.1618499999999998E+000
1.1036923523545772E+001	2.1617139999999999E+000
1.1046775935054024E+001	2.1615799999999998E+000
1.1056628349255535E+001	2.1614420000000001E+000
1.1066480766160801E+001	2.1613060000000002E+000
1.1076333185772816E+001	2.1611680000000000E+000
1.1086185608087607E+001	2.1610299999999998E+000
1.1096038033094992E+001	2.1608920000000000E+000
1.1105890460778998E+001	2.1607539999999998E+000
1.1115742891118666E+001	2.1606160000000001E+000
1.1125595324088746E+001	2.1604779999999999E+000
1.1135447759660453E+001	2.1603400000000001E+000
1.1145300197802070E+001	2.1602020000000000E+000
1.1155152638479809E+001	2.1600640000000002E+000
1.1165005081658407E+001	2.1599279999999998E+000
1.1174857527301853E+001	2.1597900000000001E+000
1.1184709975374064E+001	2.1596540000000002E+000
1.1194562425839468E+001	2.1595179999999998E+000
1.1204414878663631E+001	2.1593840000000002E+000
1.1214267333813721E+001	2.1592500000000001E+000
1.1224119791259023E+001	2.1591160000000000E+000
1.1233972250971352E+001	2.1589839999999998E+000
1.1243824712925345E+001	2.1588520000000000E+000
1.1253677177098785E+001	2.1587200000000002E+000
1.1263529643472745E+001	2.1585920000000001E+000
1.1273382112031744E+001	2.1584620000000001E+000
1.1283234582763770E+001	2.1583340000000000E+000
